counties,GDP,PI,POP,PCI,LABOUR FORCE,EMPLOYED,UNEMPLOYED,UNEMPLOYMENT RATE
Alameda,114.015,159241119,1628997,97754,825606,798404,27202,3.3
Alpine,89.237,80386,1190,67551,501,474,27,5.4
Amador,99.711,2006939,41412,48463,14350,13716,634,4.4
Butte,99.189,11396345,207303,54974,91978,87878,4100,4.5
Calaveras,95.283,2607568,46563,56001,22266,21455,811,3.6
Colusa,105.804,1216260,21914,55502,10221,9035,1186,11.6
Contra Costa,106.477,109965993,1156966,95047,551477,532060,19417,3.5
Del Norte,103.403,1182855,27082,43677,9363,8884,479,5.1
El Dorado,105.685,15808893,192646,82062,93382,90231,3151,3.4
Fresno,106.623,51316407,1015190,50549,453183,424273,28910,6.4
Glenn,96.709,1446856,28339,51055,12861,12175,686,5.3
Humboldt,103.552,7296395,135010,54043,59520,57147,2373,4.0
Imperial,105.956,8075656,178713,45188,70004,59736,10268,14.7
Inyo,91.360,1151182,18718,61501,8261,7955,306,3.7
Kern,100.023,41098858,916108,44862,391736,364575,27161,6.9
Kings,102.551,6505590,152981,42525,56448,52499,3949,7.0
Lake,96.125,3111067,68191,45623,28530,27116,1414,5.0
Lassen,92.678,1217102,29904,40700,8948,8549,399,4.5
Los Angeles,109.596,720740528,9721138,74142,5013363,4764528,248835,5.0
Madera,101.939,7436909,160256,46406,63447,59559,3888,6.1
Marin,122.348,43824350,256018,171177,131664,128169,3495,2.7
Mariposa,95.192,1042143,17020,61230,7291,6965,326,4.5
Mendocino,100.438,5145470,89783,57310,37183,35653,1530,4.1
Merced,101.258,13395227,290014,46188,115605,106730,8875,7.7
Modoc,123.533,481376,8511,56559,3177,3003,174,5.5
Mono,103.530,847409,12978,65296,8669,8345,324,3.7
Monterey,103.107,28189179,432858,65123,220475,207384,13091,5.9
Napa,102.911,11665710,134300,86863,71001,68724,2277,3.2
Nevada,106.357,7442705,102293,72759,48473,46809,1664,3.4
Orange,110.638,263290135,3151184,83553,1590882,1540561,50321,3.2
Placer,121.081,34170169,417772,81791,193823,187891,5932,3.1
Plumas,88.813,1149201,19351,59387,7428,6946,482,6.5
Riverside,113.190,127195983,2473902,51415,1152096,1104077,48019,4.2
Sacramento,113.833,97517936,1584169,61558,728310,699774,28536,3.9
San Benito,105.049,4169135,67579,61693,32480,30856,1624,5.0
San Bernardino,115.512,108081645,2193656,49270,1008492,967151,41341,4.1
San Diego,114.492,243506541,3276208,74326,1589551,1534802,54749,3.4
San Francisco,135.239,125970097,808437,155819,572583,557983,14600,2.5
San Joaquin,111.950,42979635,793229,54183,344418,326351,18067,5.2
San Luis Obispo,105.850,19162980,282013,67951,137203,133048,4155,3.0
San Mateo,130.870,127657596,729181,175070,453379,442415,10964,2.4
Santa Barbara,113.369,33607554,443837,75720,223717,215888,7829,3.5
Santa Clara,136.461,270162197,1870945,144399,1040856,1013288,27568,2.6
Santa Cruz,117.692,22832350,264370,86365,134175,127787,6388,4.8
Shasta,99.738,9791945,180930,54120,73134,69783,3351,4.6
Sierra,107.939,154021,3217,47877,1320,1265,55,4.2
Siskiyou,97.363,2261048,43660,51788,16632,15682,950,5.7
Solano,126.452,26149679,448747,58273,202274,193768,8506,4.2
Sonoma,108.716,37598558,482650,77900,248277,240509,7768,3.1
Stanislaus,105.704,28123096,551275,51015,242276,229135,13141,5.4
Sutter,119.359,5122683,98503,52005,46329,43293,3036,6.6
Tehama,102.821,3087088,65245,47315,25735,24487,1248,4.8
Trinity,89.532,573075,15781,36314,4572,4362,210,4.6
Tulare,103.852,22585661,477544,47295,207469,190526,16943,8.2
Tuolumne,90.624,2879540,54531,52806,19877,18990,887,4.5
Ventura,105.030,63589878,832605,76375,413641,398421,15220,3.7
Yolo,109.472,14277264,222115,64279,108984,104576,4408,4.0
Yuba,101.464,4064114,84310,48204,31596,29856,1740,5.5
