counties,High,Median,Low
Alameda,422300.0,303100.0,217300.0
Alpine,231100.0,184200.0,148600.0
Amador,208900.0,153600.0,123000.0
Butte,170100.0,129800.0,94600.0
Calaveras,215100.0,156900.0,122200.0
Colusa,146400.0,107500.0,87100.0
Contra Costa,426900.0,267800.0,184300.0
Del Norte,169700.0,121100.0,84100.0
El Dorado,269600.0,194400.0,148600.0
Fresno,148400.0,104900.0,80400.0
Glenn,132800.0,94900.0,80600.0
Humboldt,180700.0,133500.0,100600.0
Imperial,133000.0,100000.0,82000.0
Inyo,224200.0,161300.0,115700.0
Kern,129000.0,93300.0,73700.0
Kings,130800.0,97600.0,76500.0
Lake,175400.0,122600.0,89100.0
Lassen,147300.0,106700.0,81400.0
Los Angeles,328400.0,209300.0,155400.0
Madera,157200.0,118800.0,87200.0
Marin,750600.0,514600.0,380100.0
Mariposa,178100.0,141900.0,112100.0
Mendocino,243400.0,170200.0,129100.0
Merced,147800.0,111100.0,88000.0
Modoc,92500.0,69100.0,50400.0
Mono,344400.0,236300.0,162700.0
Monterey,414400.0,265800.0,178300.0
Napa,381100.0,251300.0,187800.0
Nevada,282200.0,205700.0,156800.0
Orange,380400.0,270000.0,199900.0
Placer,292300.0,213900.0,162000.0
Plumas,193400.0,137900.0,98700.0
Riverside,200200.0,146500.0,104300.0
Sacramento,192100.0,144200.0,109400.0
San Benito,374800.0,284000.0,225300.0
San Bernardino,177400.0,131500.0,94800.0
San Diego,328100.0,227200.0,168900.0
San Francisco,583500.0,396400.0,295300.0
San Joaquin,195600.0,142400.0,103200.0
San Luis Obispo,320800.0,230000.0,169800.0
San Mateo,705700.0,469200.0,347500.0
Santa Barbara,481000.0,293000.0,157600.0
Santa Clara,664100.0,446400.0,332200.0
Santa Cruz,503100.0,377500.0,271500.0
Shasta,160800.0,120800.0,92800.0
Sierra,166000.0,128600.0,83700.0
Siskiyou,150200.0,100300.0,74300.0
Solano,237800.0,178300.0,142500.0
Sonoma,373600.0,273200.0,209400.0
Stanislaus,161500.0,125300.0,98900.0
Sutter,152400.0,120700.0,95500.0
Tehama,143400.0,103000.0,79600.0
Trinity,154300.0,112000.0,83600.0
Tulare,135900.0,97800.0,79500.0
Tuolumne,200900.0,149800.0,118100.0
Ventura,347500.0,248700.0,193500.0
Yolo,245200.0,169800.0,129400.0
Yuba,123600.0,89700.0,75300.0
